timestamp_start,timestamp_end,target,ip_protocol,packet_loss,packets_send,ping_avg,ping_worst,ping_best,ping_stddev,average_speed
2024-02-28 05:16:04,2024-02-28 05:16:29,131.173.23.81,v4,2,250,67.256,212.581,47.064,14.123,0
2024-02-28 05:17:01,2024-02-28 05:17:26,131.173.23.81,v4,0,250,59.707,124.27,45.954,9.275,0
2024-02-28 05:17:56,2024-02-28 05:18:21,131.173.23.81,v4,1.2,250,84.04,368.732,51.575,31.401,0
2024-02-28 05:19:16,2024-02-28 05:19:41,131.173.23.81,v4,0,250,56.545,125.757,47.492,8.678,0
2024-02-29 09:20:14,2024-02-29 09:20:39,131.173.23.81,v4,2,250,69.726,273.159,43.663,26.616,2.26942545968629
2024-02-29 09:21:33,2024-02-29 09:21:58,131.173.23.81,v4,16.4,250,65.298,99.154,47.098,9.785,28.0887405121591
2024-02-29 09:22:28,2024-02-29 09:22:53,131.173.23.81,v4,17.6,250,76.878,434.856,45.418,47.442,11.4547196828026
2024-02-29 09:23:28,2024-02-29 09:23:53,131.173.23.81,v4,17.2,250,60.342,230.454,46.785,14.31,33.3381924261208
2024-02-29 09:24:24,2024-02-29 09:24:49,131.173.23.81,v4,0.4,250,59.294,130.272,48.055,7.458,28.3873538277771
2024-02-29 09:25:20,2024-02-29 09:25:45,131.173.23.81,v4,2.8,250,90.655,464.652,50.306,44.172,0
2024-02-29 09:26:16,2024-02-29 09:26:41,131.173.23.81,v4,0.8,250,67.732,216.912,54.965,12.481,32.4743441457211
2024-02-29 09:27:52,2024-02-29 09:28:17,131.173.23.81,v4,2.8,250,58.566,169.788,45.761,11.075,29.7038026263877
2024-02-29 09:29:11,2024-02-29 09:29:36,131.173.23.81,v4,0,250,67.23,145.814,47.768,12.273,29.3767881384962
2024-02-29 09:30:07,2024-02-29 09:30:32,131.173.23.81,v4,0,250,52.593,103.834,43.49,8.895,87.6411006963446
2024-02-29 09:31:02,2024-02-29 09:31:27,131.173.23.81,v4,0,250,59.673,100.805,46.748,7.904,92.8641806613566
2024-02-29 09:31:57,2024-02-29 09:32:22,131.173.23.81,v4,0.8,250,54.863,103.621,45.681,6.755,80.625324978069
2024-02-29 09:32:52,2024-02-29 09:33:17,131.173.23.81,v4,0.4,250,57.706,125.514,43.499,8.518,49.9541032047057
2024-02-29 09:33:53,2024-02-29 09:34:18,131.173.23.81,v4,2.4,250,69.887,211.694,51.09,17.588,72.1612305627581
2024-02-29 09:35:11,2024-02-29 09:35:36,131.173.23.81,v4,4.4,250,69.197,298.843,46.702,26.183,22.5850961270921
2024-02-29 09:36:07,2024-02-29 09:36:32,131.173.23.81,v4,0,250,60.824,163.606,44.586,10.555,2.47435006625947
2024-02-29 09:37:02,2024-02-29 09:37:27,131.173.23.81,v4,0,250,51.737,129.06,46.288,6.273,0
2024-02-29 09:38:08,2024-02-29 09:38:33,131.173.23.81,v4,1.2,250,60.483,153.337,46.641,11.231,0
2024-02-29 09:39:03,2024-02-29 09:39:28,131.173.23.81,v4,19.6,250,72.804,433.481,51.514,35.061,0
2024-02-29 09:40:00,2024-02-29 09:40:25,131.173.23.81,v4,0.4,250,56.504,111.731,43.793,9.26,0
2024-02-29 12:53:18,2024-02-29 12:53:43,131.173.23.81,v4,2.4,250,55.967,404.234,46.834,29.459,0
2024-02-29 12:54:37,2024-02-29 12:55:02,131.173.23.81,v4,38.4,250,53.381,80.682,43.693,5.372,0
2024-02-29 12:55:33,2024-02-29 12:55:58,131.173.23.81,v4,0.4,250,57.985,106.871,45.588,7.627,0
2024-02-29 12:56:28,2024-02-29 12:56:53,131.173.23.81,v4,0,250,68.755,145.793,55.859,10.357,0
2024-02-29 12:57:24,2024-02-29 12:57:49,131.173.23.81,v4,0,250,64.697,102.15,46.663,12.195,4.38288613083406
2024-02-29 12:58:19,2024-02-29 12:58:44,131.173.23.81,v4,0,250,60.724,96.059,47.447,7.442,32.6959231252356
2024-02-29 12:59:14,2024-02-29 12:59:39,131.173.23.81,v4,0,250,68.581,126.808,47.097,9.477,30.5477598288461
2024-02-29 13:01:29,2024-02-29 13:01:54,131.173.23.81,v4,0,250,59.711,146.571,43.806,12.351,0
2024-02-29 13:02:25,2024-02-29 13:02:50,131.173.23.81,v4,0,250,55.767,92.173,47.319,6.186,0
2024-02-29 13:03:20,2024-02-29 13:03:45,131.173.23.81,v4,1.2,250,65.915,103.446,45.205,12.139,0
2024-02-29 13:04:15,2024-02-29 13:04:40,131.173.23.81,v4,0.4,250,69.173,139.503,44.062,12.794,0
2024-02-29 13:21:03,2024-02-29 13:21:28,131.173.23.81,v4,0,250,54.665,108.789,43.178,8.243,107.947889178673
2024-02-29 13:22:26,2024-02-29 13:22:51,131.173.23.81,v4,3.2,250,63.478,447.661,46.802,35.664,50.662709492277
2024-02-29 13:23:23,2024-02-29 13:23:48,131.173.23.81,v4,3.2,250,55.79,103.524,46.538,8.237,27.3133271347742
2024-02-29 13:24:21,2024-02-29 13:24:46,131.173.23.81,v4,0.8,250,50.931,83.58,43.718,6.089,13.9098402705061
2024-02-29 13:25:17,2024-02-29 13:25:42,131.173.23.81,v4,0.8,250,63.996,137.785,46.957,9.465,14.9919613339676
2024-02-29 13:26:13,2024-02-29 13:26:38,131.173.23.81,v4,0.4,250,60.533,120.306,45.379,11.148,27.3145013799101
2024-02-29 13:27:09,2024-02-29 13:27:34,131.173.23.81,v4,0,250,51.409,101.269,43.481,5.963,42.4295064708854
2024-02-29 13:29:25,2024-02-29 13:29:50,131.173.23.81,v4,8.8,250,65.122,577.424,45.421,48.707,25.6689200705725
2024-02-29 13:30:21,2024-02-29 13:30:46,131.173.23.81,v4,10.8,250,59.926,360.082,43.662,30.748,18.8305989284396
2024-02-29 13:31:19,2024-02-29 13:31:44,131.173.23.81,v4,0.4,250,57.832,90.839,46.085,8.059,39.7207051768896
2024-02-29 13:32:14,2024-02-29 13:32:39,131.173.23.81,v4,0.4,250,52.579,111.886,43.295,7.76,15.4010801795118
2024-02-29 13:33:09,2024-02-29 13:33:34,131.173.23.81,v4,0.4,250,56.267,95.787,46.658,8.011,0
2024-02-29 13:34:28,2024-02-29 13:34:53,131.173.23.81,v4,0.4,250,60.613,90.78,48.874,7.053,0
2024-02-29 13:35:33,2024-02-29 13:35:58,131.173.23.81,v4,8.4,250,63.983,110.612,44.116,11.029,0
2024-02-29 13:36:29,2024-02-29 13:36:54,131.173.23.81,v4,0,250,53.593,108.954,42.452,6.505,0
2024-03-04 12:59:58,2024-03-04 13:00:23,131.173.23.81,v4,1.2,250,60.019,137.054,44.667,10.528,32.0508120053459
2024-03-04 13:01:17,2024-03-04 13:01:42,131.173.23.81,v4,0.8,250,62.304,114.764,51.817,6.69,38.3159523601402
2024-03-04 13:02:13,2024-03-04 13:02:38,131.173.23.81,v4,0.4,250,55.409,76.382,46.381,6.371,32.2088080195773
2024-03-04 13:03:08,2024-03-04 13:03:33,131.173.23.81,v4,17.6,250,55.799,300.412,43.52,20.012,35.8356298815813
